election,election_date,locality,precinct,Early Voting,Election Day,Mailed Absentee,Provisional,Post-Election,TotalVoteTurnout,ActiveRegisteredVoters,InactiveRegisteredVoters,TotalRegisteredVoters
2025 November General,11/4/2025 0:00,CHESTERFIELD COUNTY,220 - FALLING CREEK EAST,88,92,37,3,1,221,498,35,533
2025 November General,11/4/2025 0:00,CHESTERFIELD COUNTY,221 - OXBRIDGE,1224,1231,247,14,17,2733,4344,186,4530
2025 November General,11/4/2025 0:00,CHESTERFIELD COUNTY,222 - TURNER,576,809,173,21,8,1587,3027,238,3265
2025 November General,11/4/2025 0:00,CHESTERFIELD COUNTY,301 - ETTRICK,695,1063,185,473,17,2433,5770,283,6053
2025 November General,11/4/2025 0:00,CHESTERFIELD COUNTY,303 - MATOACA,1270,1237,210,17,7,2741,4672,98,4770
2025 November General,11/4/2025 0:00,CHESTERFIELD COUNTY,304 - WINFREES STORE,749,976,154,14,8,1901,2881,61,2942
2025 November General,11/4/2025 0:00,CHESTERFIELD COUNTY,305 - BEACH,395,437,72,5,1,910,1311,21,1332
2025 November General,11/4/2025 0:00,CHESTERFIELD COUNTY,306 - WINTERPOCK,1261,1333,206,11,12,2823,4078,78,4156
2025 November General,11/4/2025 0:00,CHESTERFIELD COUNTY,307 - COSBY,963,1210,207,19,31,2430,3709,128,3837
2025 November General,11/4/2025 0:00,CHESTERFIELD COUNTY,309 - SKINQUARTER,960,1203,287,10,36,2496,3658,99,3757
2025 November General,11/4/2025 0:00,CHESTERFIELD COUNTY,313 - WOOLRIDGE SOUTH,1125,947,304,16,18,2410,3570,128,3698
2025 November General,11/4/2025 0:00,CHESTERFIELD COUNTY,314 - LONGHOUSE,690,672,118,9,6,1495,2308,45,2353
2025 November General,11/4/2025 0:00,CHESTERFIELD COUNTY,315 - BAILEY BRIDGE,1272,1163,224,8,16,2683,3988,103,4091
2025 November General,11/4/2025 0:00,CHESTERFIELD COUNTY,316 - SPRING RUN,986,1042,140,18,14,2200,3550,111,3661
2025 November General,11/4/2025 0:00,CHESTERFIELD COUNTY,319 - MAGNOLIA,1965,2361,448,26,33,4833,7202,212,7414
2025 November General,11/4/2025 0:00,CHESTERFIELD COUNTY,320 - DRY CREEK,1847,1651,472,26,22,4018,6004,174,6178
2025 November General,11/4/2025 0:00,CHESTERFIELD COUNTY,321 - CLAYPOINT,833,635,181,10,8,1667,2964,199,3163
2025 November General,11/4/2025 0:00,CHESTERFIELD COUNTY,322 - HENSLEY,1550,1352,353,22,12,3289,4799,112,4911
2025 November General,11/4/2025 0:00,CHESTERFIELD COUNTY,401 - HARBOUR POINTE,661,715,200,10,11,1597,2264,57,2321
2025 November General,11/4/2025 0:00,CHESTERFIELD COUNTY,402 - GENITO,933,894,233,10,22,2092,3379,97,3476
2025 November General,11/4/2025 0:00,CHESTERFIELD COUNTY,403 - BRANDERMILL,936,1278,339,11,24,2588,3743,119,3862
2025 November General,11/4/2025 0:00,CHESTERFIELD COUNTY,404 - PROVIDENCE,870,996,203,19,24,2112,3365,106,3471
2025 November General,11/4/2025 0:00,CHESTERFIELD COUNTY,405 - LA PRADE,1352,689,253,19,15,2328,3327,104,3431
2025 November General,11/4/2025 0:00,CHESTERFIELD COUNTY,408 - REAMS,507,587,131,16,9,1250,2046,98,2144
2025 November General,11/4/2025 0:00,CHESTERFIELD COUNTY,410 - WAGSTAFF,186,240,26,6,2,460,771,29,800
2025 November General,11/4/2025 0:00,CHESTERFIELD COUNTY,411 - SWIFT CREEK,788,1181,255,12,18,2254,3154,103,3257
2025 November General,11/4/2025 0:00,CHESTERFIELD COUNTY,412 - CLOVER HILL,1123,1284,281,23,17,2728,4633,172,4805
2025 November General,11/4/2025 0:00,CHESTERFIELD COUNTY,413 - SHENANDOAH,670,999,181,11,16,1877,2961,113,3074
2025 November General,11/4/2025 0:00,CHESTERFIELD COUNTY,414 - CRENSHAW,1368,1561,318,27,25,3299,6104,253,6357
2025 November General,11/4/2025 0:00,CHESTERFIELD COUNTY,415 - EVERGREEN,1121,1110,208,9,29,2477,3588,95,3683
2025 November General,11/4/2025 0:00,CHESTERFIELD COUNTY,418 - WOOLRIDGE NORTH,661,811,168,5,13,1658,2303,72,2375
2025 November General,11/4/2025 0:00,CHESTERFIELD COUNTY,419 - NORTH COURTHOUSE,630,664,134,19,12,1459,2513,97,2610
2025 November General,11/4/2025 0:00,CHESTERFIELD COUNTY,420 - NEW TOMAHAWK,901,1185,235,9,19,2349,3277,103,3380
2025 November General,11/4/2025 0:00,CHESTERFIELD COUNTY,421 - LUCKS LANE,1699,1422,291,12,15,3439,4566,131,4697
2025 November General,11/4/2025 0:00,CHESTERFIELD COUNTY,422 - OTTERDALE,1252,1782,353,24,35,3446,5453,217,5670
2025 November General,11/4/2025 0:00,CHESTERFIELD COUNTY,503 - MIDLOTHIAN,1040,1496,383,26,41,2986,4629,188,4817
2025 November General,11/4/2025 0:00,CHESTERFIELD COUNTY,504 - ROBIOUS,1531,1637,572,23,36,3799,5188,118,5306
2025 November General,11/4/2025 0:00,CHESTERFIELD COUNTY,505 - BON AIR,861,1294,262,12,16,2445,3105,84,3189
2025 November General,11/4/2025 0:00,CHESTERFIELD COUNTY,506 - GREENFIELD,661,1317,200,18,21,2217,3249,94,3343
2025 November General,11/4/2025 0:00,CHESTERFIELD COUNTY,507 - SALISBURY,1028,1819,307,14,30,3198,4271,75,4346
2025 November General,11/4/2025 0:00,CHESTERFIELD COUNTY,508 - BELGRADE,931,1141,369,19,20,2480,4063,144,4207
2025 November General,11/4/2025 0:00,CHESTERFIELD COUNTY,509 - CRANBECK,334,913,137,25,15,1424,2405,150,2555
2025 November General,11/4/2025 0:00,CHESTERFIELD COUNTY,510 - SYCAMORE,542,464,109,5,4,1124,1439,28,1467
2025 November General,11/4/2025 0:00,CHESTERFIELD COUNTY,511 - BLACK HEATH,504,954,127,4,19,1608,2064,45,2109
2025 November General,11/4/2025 0:00,CHESTERFIELD COUNTY,513 - BEAUFONT,296,607,81,34,9,1027,2156,161,2317
2025 November General,11/4/2025 0:00,CHESTERFIELD COUNTY,514 - WATKINS,1137,1403,317,14,25,2896,4112,106,4218
2025 November General,11/4/2025 0:00,CHESTERFIELD COUNTY,515 - DAVIS,646,874,154,21,18,1713,3403,194,3597
2025 November General,11/4/2025 0:00,CHESTERFIELD COUNTY,516 - POCOSHOCK NORTH,338,275,82,5,6,706,1178,27,1205
2025 November General,11/4/2025 0:00,CHESTERFIELD COUNTY,517 - ROSELAND,614,1278,200,17,26,2135,2988,69,3057
2025 November General,11/4/2025 0:00,CHESTERFIELD COUNTY,518 - MIDLOTHIAN NORTH,1178,1341,361,26,34,2940,4207,182,4389
2025 November General,11/4/2025 0:00,CHESTERFIELD COUNTY,519 - BUFORD,68,127,30,10,2,237,389,9,398
2025 November General,11/4/2025 0:00,CHESTERFIELD COUNTY,520 - WALTON PARK,597,767,121,5,8,1498,2118,68,2186
2025 November General,11/4/2025 0:00,CHESTERFIELD COUNTY,521 - ROCKAWAY,878,1586,329,18,38,2849,3950,93,4043
2025 November General,11/4/2025 0:00,CLARKE COUNTY,101 - RUSSELL,715,798,92,10,3,1618,2516,104,2620
2025 November General,11/4/2025 0:00,CLARKE COUNTY,201 - BERRYVILLE,620,728,81,9,5,1443,2382,151,2533
2025 November General,11/4/2025 0:00,CLARKE COUNTY,301 - MILLWOOD,532,585,103,6,7,1233,1895,110,2005
2025 November General,11/4/2025 0:00,CLARKE COUNTY,302 - PINE GROVE,194,289,31,5,1,520,760,27,787
2025 November General,11/4/2025 0:00,CLARKE COUNTY,401 - WHITE POST,491,867,84,8,4,1454,2310,105,2415
2025 November General,11/4/2025 0:00,CLARKE COUNTY,501 - BUCKMARSH,432,492,44,2,1,971,1616,83,1699
2025 November General,11/4/2025 0:00,CLARKE COUNTY,502 - BLUE RIDGE,113,273,27,,1,414,627,29,656
2025 November General,11/4/2025 0:00,COLONIAL HEIGHTS CITY,001 - FIRST,311,512,49,5,4,881,1978,117,2095
2025 November General,11/4/2025 0:00,COLONIAL HEIGHTS CITY,002 - SECOND,422,559,57,3,3,1044,2303,154,2457
2025 November General,11/4/2025 0:00,COLONIAL HEIGHTS CITY,003 - THIRD,538,671,90,13,1,1313,2505,156,2661
2025 November General,11/4/2025 0:00,COLONIAL HEIGHTS CITY,004 - FOURTH,799,687,143,7,9,1645,3042,197,3239
2025 November General,11/4/2025 0:00,COLONIAL HEIGHTS CITY,005 - FIFTH,792,819,104,8,3,1726,2618,98,2716
2025 November General,11/4/2025 0:00,COVINGTON CITY,101 - PRECINCT 1-1,68,202,11,1,1,283,679,29,708
2025 November General,11/4/2025 0:00,COVINGTON CITY,201 - PRECINCT 2-1,81,212,21,3,,317,731,32,763
2025 November General,11/4/2025 0:00,COVINGTON CITY,301 - PRECINCT 3-1,49,172,25,1,,247,703,35,738
2025 November General,11/4/2025 0:00,COVINGTON CITY,401 - PRECINCT 4-1,95,322,13,,2,432,816,17,833
2025 November General,11/4/2025 0:00,COVINGTON CITY,501 - PRECINCT 5-1,76,306,19,1,,402,801,19,820
2025 November General,11/4/2025 0:00,CRAIG COUNTY,101 - COURT HOUSE,126,266,14,,,406,719,29,748
2025 November General,11/4/2025 0:00,CRAIG COUNTY,201 - AMMENDALE PRECINCT,139,319,21,,2,481,772,15,787
2025 November General,11/4/2025 0:00,CRAIG COUNTY,301 - GIVENS & REYNOLDS STORE,29,256,20,2,,307,468,12,480
2025 November General,11/4/2025 0:00,CRAIG COUNTY,303 - MARSHALLS STORE,72,136,11,1,,220,341,6,347
2025 November General,11/4/2025 0:00,CRAIG COUNTY,401 - BARBOURS CREEK,74,123,4,,,201,347,16,363
2025 November General,11/4/2025 0:00,CRAIG COUNTY,402 - PAINT BANK,5,32,,,,37,77,6,83
2025 November General,11/4/2025 0:00,CRAIG COUNTY,403 - CRAIG SPRINGS,89,133,9,2,,233,386,13,399
2025 November General,11/4/2025 0:00,CRAIG COUNTY,501 - CRAIG CITY,159,229,14,,,402,735,31,766
2025 November General,11/4/2025 0:00,CULPEPER COUNTY,101 - WEST FAIRFAX,1016,1249,243,15,17,2540,4675,223,4898
2025 November General,11/4/2025 0:00,CULPEPER COUNTY,201 - EAST FAIRFAX,770,1042,182,35,17,2046,4396,230,4626
2025 November General,11/4/2025 0:00,CULPEPER COUNTY,302 - EGGBORNSVILLE,365,689,122,7,5,1188,2037,40,2077
2025 November General,11/4/2025 0:00,CULPEPER COUNTY,303 - CARDOVA,321,682,103,3,4,1113,2032,70,2102
2025 November General,11/4/2025 0:00,CULPEPER COUNTY,304 - WILLOW SHADE,231,386,63,6,6,692,1271,56,1327
2025 November General,11/4/2025 0:00,CULPEPER COUNTY,401 - ELDORADO,399,898,80,4,13,1394,2312,69,2381
2025 November General,11/4/2025 0:00,CULPEPER COUNTY,402 - BROWNS STORE,866,1291,216,6,11,2390,3746,97,3843
2025 November General,11/4/2025 0:00,CULPEPER COUNTY,501 - JEFFERSONTON,572,1364,189,14,11,2150,3477,96,3573
2025 November General,11/4/2025 0:00,CULPEPER COUNTY,502 - RIXEYVILLE,684,1047,150,10,11,1902,2891,70,2961
2025 November General,11/4/2025 0:00,CULPEPER COUNTY,601 - MITCHELLS,60,199,8,2,1,270,447,19,466
2025 November General,11/4/2025 0:00,CULPEPER COUNTY,602 - PEARL SAMPLE,877,900,218,12,7,2014,3438,119,3557
2025 November General,11/4/2025 0:00,CULPEPER COUNTY,603 - SOUTH RIDGE,153,336,43,4,,536,1040,63,1103
2025 November General,11/4/2025 0:00,CULPEPER COUNTY,702 - BRANDY STATION,834,1260,180,10,8,2292,3826,124,3950
2025 November General,11/4/2025 0:00,CULPEPER COUNTY,703 - LIGNUM,219,554,48,8,6,835,1393,31,1424
2025 November General,11/4/2025 0:00,CULPEPER COUNTY,704 - RICHARDSVILLE,85,430,30,,1,546,884,16,900
2025 November General,11/4/2025 0:00,CUMBERLAND COUNTY,101 - PRECINCT 1,233,688,53,5,,979,1575,38,1613
2025 November General,11/4/2025 0:00,CUMBERLAND COUNTY,201 - PRECINCT 2,385,476,52,7,,920,1604,34,1638
2025 November General,11/4/2025 0:00,CUMBERLAND COUNTY,301 - PRECINCT 3,326,473,54,8,1,862,1614,23,1637
2025 November General,11/4/2025 0:00,CUMBERLAND COUNTY,401 - PRECINCT 4,287,529,66,2,1,885,1550,30,1580
2025 November General,11/4/2025 0:00,CUMBERLAND COUNTY,501 - PRECINCT 5,166,523,85,4,3,781,1325,41,1366
2025 November General,11/4/2025 0:00,DANVILLE CITY,001 - WARD ONE,95,218,46,1,2,362,872,78,950
2025 November General,11/4/2025 0:00,DANVILLE CITY,002 - WARD TWO,128,228,50,3,2,411,870,75,945
2025 November General,11/4/2025 0:00,DANVILLE CITY,003 - WARD THREE,322,353,87,1,4,767,1608,98,1706
2025 November General,11/4/2025 0:00,DANVILLE CITY,004 - WARD FOUR,479,782,122,18,5,1406,3101,200,3301
2025 November General,11/4/2025 0:00,DANVILLE CITY,006 - WARD SIX,100,208,72,5,3,388,935,60,995
2025 November General,11/4/2025 0:00,DANVILLE CITY,007 - WARD SEVEN,164,314,72,7,3,560,1702,114,1816
2025 November General,11/4/2025 0:00,DANVILLE CITY,008 - WARD EIGHT,171,354,49,5,1,580,1414,103,1517
2025 November General,11/4/2025 0:00,DANVILLE CITY,009 - WARD NINE,165,359,51,2,1,578,1253,76,1329
2025 November General,11/4/2025 0:00,DANVILLE CITY,010 - WARD TEN,243,449,100,7,7,806,1689,105,1794
2025 November General,11/4/2025 0:00,DANVILLE CITY,011 - WARD ELEVEN,391,603,106,4,4,1108,2380,206,2586
2025 November General,11/4/2025 0:00,DANVILLE CITY,012 - WARD TWELVE,359,676,143,6,3,1187,2341,138,2479
2025 November General,11/4/2025 0:00,DANVILLE CITY,013 - WARD THIRTEEN,347,552,101,8,2,1010,2215,214,2429
2025 November General,11/4/2025 0:00,DANVILLE CITY,014 - WARD FOURTEEN,37,71,28,,,136,352,33,385
2025 November General,11/4/2025 0:00,DANVILLE CITY,015 - WARD FIFTEEN,304,533,70,5,1,913,2112,141,2253
2025 November General,11/4/2025 0:00,DANVILLE CITY,016 - WARD SIXTEEN,341,700,80,6,,1127,2246,132,2378
2025 November General,11/4/2025 0:00,DANVILLE CITY,017 - WARD SEVENTEEN,421,576,94,1,1,1093,1891,92,1983
2025 November General,11/4/2025 0:00,DICKENSON COUNTY,101 - SOUTH CLINTWOOD,400,490,55,4,3,952,1959,60,2019
2025 November General,11/4/2025 0:00,DICKENSON COUNTY,201 - NORA,72,193,29,2,,296,677,39,716
2025 November General,11/4/2025 0:00,DICKENSON COUNTY,202 - FRYING PAN,15,97,9,2,,123,247,4,251
2025 November General,11/4/2025 0:00,DICKENSON COUNTY,203 - CLINCHCO,76,286,16,5,1,384,893,31,924
2025 November General,11/4/2025 0:00,DICKENSON COUNTY,301 - WEST DANTE,10,140,6,,,156,275,4,279
2025 November General,11/4/2025 0:00,DICKENSON COUNTY,302 - HERALD,27,242,18,1,,288,580,12,592
2025 November General,11/4/2025 0:00,DICKENSON COUNTY,303 - RIDGE,83,198,9,,,290,593,25,618
2025 November General,11/4/2025 0:00,DICKENSON COUNTY,304 - LONGS FORK,69,157,9,2,1,238,519,26,545
2025 November General,11/4/2025 0:00,DICKENSON COUNTY,401 - HAYSI-COLLEY,173,519,49,9,2,752,1837,101,1938
2025 November General,11/4/2025 0:00,DICKENSON COUNTY,501 - TARPON,54,116,14,0,,184,420,19,439
2025 November General,11/4/2025 0:00,DICKENSON COUNTY,502 - NORTH CLINTWOOD,331,444,37,7,,819,1579,43,1622
2025 November General,11/4/2025 0:00,DINWIDDIE COUNTY,101 - WHITE OAK,124,340,19,7,,490,790,27,817
2025 November General,11/4/2025 0:00,DINWIDDIE COUNTY,102 - ROCKY RUN,309,469,61,2,4,845,1416,34,1450
2025 November General,11/4/2025 0:00,DINWIDDIE COUNTY,103 - CHURCH ROAD,452,725,68,6,3,1254,1950,44,1994
2025 November General,11/4/2025 0:00,DINWIDDIE COUNTY,201 - ROHOIC,199,392,27,5,2,625,1226,53,1279
2025 November General,11/4/2025 0:00,DINWIDDIE COUNTY,202 - SUTHERLAND,648,944,129,6,3,1730,2983,96,3079
2025 November General,11/4/2025 0:00,DINWIDDIE COUNTY,301 - REAMS,123,369,22,6,1,521,846,18,864
2025 November General,11/4/2025 0:00,DINWIDDIE COUNTY,302 - NEW HOPE,290,497,79,13,3,882,1503,51,1554
2025 November General,11/4/2025 0:00,DINWIDDIE COUNTY,303 - LITTLE ZION,575,633,92,11,3,1314,2221,61,2282
2025 November General,11/4/2025 0:00,DINWIDDIE COUNTY,401 - DINWIDDIE,647,607,63,3,1,1321,2214,62,2276
2025 November General,11/4/2025 0:00,DINWIDDIE COUNTY,402 - MCKENNEY,229,450,42,5,1,727,1407,44,1451
2025 November General,11/4/2025 0:00,DINWIDDIE COUNTY,403 - CHERRY HILL,170,278,28,1,,477,813,17,830
2025 November General,11/4/2025 0:00,DINWIDDIE COUNTY,501 - EDGEHILL,180,260,45,7,2,494,1070,50,1120
2025 November General,11/4/2025 0:00,DINWIDDIE COUNTY,502 - CHESDIN,462,828,146,12,3,1451,2668,88,2756
2025 November General,11/4/2025 0:00,EMPORIA CITY,101 - PRECINCT 1-1,69,212,24,3,,308,640,38,678
2025 November General,11/4/2025 0:00,EMPORIA CITY,201 - PRECINCT 2-1,40,108,34,2,,184,447,26,473
2025 November General,11/4/2025 0:00,EMPORIA CITY,301 - PRECINCT 3-1,78,187,23,4,,292,580,21,601
2025 November General,11/4/2025 0:00,EMPORIA CITY,401 - PRECINCT 4-1,69,167,26,2,,264,566,22,588
2025 November General,11/4/2025 0:00,EMPORIA CITY,501 - PRECINCT 5-1,54,100,14,3,2,173,473,32,505
2025 November General,11/4/2025 0:00,EMPORIA CITY,601 - DISTRICT 6,96,205,16,2,,319,628,27,655
2025 November General,11/4/2025 0:00,EMPORIA CITY,701 - DISTRICT 7,32,99,10,3,,144,475,27,502
2025 November General,11/4/2025 0:00,ESSEX COUNTY,101 - GREATER TAPPAHANNOCK,468,522,68,4,3,1065,1849,124,1973
2025 November General,11/4/2025 0:00,ESSEX COUNTY,201 - NORTH,551,602,64,1,,1218,2139,78,2217
2025 November General,11/4/2025 0:00,ESSEX COUNTY,301 - SOUTH,500,753,71,1,1,1326,2144,61,2205
2025 November General,11/4/2025 0:00,ESSEX COUNTY,401 - CENTRAL,572,632,71,,2,1277,2090,62,2152
2025 November General,11/4/2025 0:00,FAIRFAX CITY,001 - ONE,538,768,156,16,6,1484,2595,110,2705
2025 November General,11/4/2025 0:00,FAIRFAX CITY,002 - TWO,743,991,201,46,12,1993,3211,99,3310
2025 November General,11/4/2025 0:00,FAIRFAX CITY,003 - THREE,878,1030,316,18,16,2258,3810,156,3966
2025 November General,11/4/2025 0:00,FAIRFAX CITY,004 - FOUR,871,638,215,19,14,1757,2726,134,2860
2025 November General,11/4/2025 0:00,FAIRFAX CITY,005 - FIVE,545,752,166,30,12,1505,2735,201,2936
2025 November General,11/4/2025 0:00,FAIRFAX CITY,006 - SIX,441,879,133,24,13,1490,2726,147,2873
2025 November General,11/4/2025 0:00,FAIRFAX COUNTY,104 - CHAPEL,441,1025,210,18,23,1717,2544,72,2616
2025 November General,11/4/2025 0:00,FAIRFAX COUNTY,105 - FAIRVIEW,1207,1433,433,31,47,3151,4902,261,5163
2025 November General,11/4/2025 0:00,FAIRFAX COUNTY,106 - HERITAGE,337,1168,218,27,25,1775,4054,351,4405
2025 November General,11/4/2025 0:00,FAIRFAX COUNTY,108 - KINGS PARK,557,1289,218,13,31,2108,3231,137,3368
2025 November General,11/4/2025 0:00,FAIRFAX COUNTY,109 - LITTLE RUN,233,665,122,9,11,1040,1658,80,1738
2025 November General,11/4/2025 0:00,FAIRFAX COUNTY,110 - NORTH SPRINGFIELD,509,1622,368,23,31,2553,4560,192,4752
2025 November General,11/4/2025 0:00,FAIRFAX COUNTY,113 - CANTERBURY,728,1445,364,20,37,2594,3862,138,4000
2025 November General,11/4/2025 0:00,FAIRFAX COUNTY,114 - OLDE CREEK,419,860,212,11,35,1537,2331,119,2450
2025 November General,11/4/2025 0:00,FAIRFAX COUNTY,115 - RAVENSWORTH,169,830,125,14,13,1151,1859,52,1911
2025 November General,11/4/2025 0:00,FAIRFAX COUNTY,116 - WAKEFIELD,420,995,200,15,22,1652,2394,100,2494
2025 November General,11/4/2025 0:00,FAIRFAX COUNTY,117 - WOODSON #1,314,704,160,11,12,1201,1978,128,2106
2025 November General,11/4/2025 0:00,FAIRFAX COUNTY,118 - LAKE BRADDOCK,692,1510,310,21,36,2569,4390,190,4580
2025 November General,11/4/2025 0:00,FAIRFAX COUNTY,119 - LAUREL,741,1549,349,24,44,2707,4138,261,4399
2025 November General,11/4/2025 0:00,FAIRFAX COUNTY,120 - SIDEBURN #1,184,439,83,5,11,722,1094,60,1154
2025 November General,11/4/2025 0:00,FAIRFAX COUNTY,121 - VILLA,338,875,140,47,23,1423,2481,142,2623
2025 November General,11/4/2025 0:00,FAIRFAX COUNTY,123 - ROBINSON,1051,1506,526,42,28,3153,4965,240,5205
2025 November General,11/4/2025 0:00,FAIRFAX COUNTY,125 - SIGNAL HILL,745,1097,335,14,30,2221,3308,113,3421
2025 November General,11/4/2025 0:00,FAIRFAX COUNTY,126 - BONNIE BRAE,417,933,174,16,27,1567,2545,118,2663
2025 November General,11/4/2025 0:00,FAIRFAX COUNTY,127 - BURKE CENTRE,860,1519,373,29,43,2824,4737,358,5095
2025 November General,11/4/2025 0:00,FAIRFAX COUNTY,128 - CARDINAL,387,889,162,11,23,1472,2450,186,2636
2025 November General,11/4/2025 0:00,FAIRFAX COUNTY,129 - KEENE MILL,323,742,121,13,28,1227,1875,82,1957
2025 November General,11/4/2025 0:00,FAIRFAX COUNTY,130 - TERRA CENTRE,442,967,152,24,19,1604,2411,102,2513
2025 November General,11/4/2025 0:00,FAIRFAX COUNTY,131 - EAGLE VIEW #1,296,560,53,18,13,940,1954,275,2229
2025 November General,11/4/2025 0:00,FAIRFAX COUNTY,132 - MONUMENT,1016,1049,337,35,37,2474,5252,512,5764
2025 November General,11/4/2025 0:00,FAIRFAX COUNTY,134 - UNIVERSITY,47,510,16,413,1,987,2409,132,2541
2025 November General,11/4/2025 0:00,FAIRFAX COUNTY,135 - IRVING,635,927,268,12,29,1871,2780,107,2887
2025 November General,11/4/2025 0:00,FAIRFAX COUNTY,136 - WOODSON #2,218,380,97,5,12,712,1088,45,1133
2025 November General,11/4/2025 0:00,FAIRFAX COUNTY,137 - SIDEBURN #2,581,694,184,9,25,1493,2058,104,2162
2025 November General,11/4/2025 0:00,FAIRFAX COUNTY,138 - EAGLE VIEW #2,475,518,260,6,19,1278,2085,94,2179
2025 November General,11/4/2025 0:00,FAIRFAX COUNTY,201 - ARMSTRONG,945,1221,322,23,42,2553,3774,407,4181
2025 November General,11/4/2025 0:00,FAIRFAX COUNTY,202 - FLINT HILL #1,339,495,175,13,19,1041,1537,74,1611
2025 November General,11/4/2025 0:00,FAIRFAX COUNTY,203 - FLORIS,784,1413,320,30,45,2592,3912,162,4074
2025 November General,11/4/2025 0:00,FAIRFAX COUNTY,204 - MADISON,135,334,88,9,11,577,1014,70,1084
2025 November General,11/4/2025 0:00,FAIRFAX COUNTY,208 - RESTON #1,864,1350,278,40,44,2576,4597,647,5244
2025 November General,11/4/2025 0:00,FAIRFAX COUNTY,209 - RESTON #2,899,1302,345,40,43,2629,4285,314,4599
2025 November General,11/4/2025 0:00,FAIRFAX COUNTY,213 - VIENNA #1,720,1580,411,33,79,2823,4335,196,4531
2025 November General,11/4/2025 0:00,FAIRFAX COUNTY,214 - VIENNA #2,607,1318,306,18,68,2317,3487,185,3672
2025 November General,11/4/2025 0:00,FAIRFAX COUNTY,216 - VIENNA #4,233,610,160,13,20,1036,1631,106,1737
2025 November General,11/4/2025 0:00,FAIRFAX COUNTY,218 - VIENNA #6,464,818,311,17,44,1654,2494,116,2610
2025 November General,11/4/2025 0:00,FAIRFAX COUNTY,219 - WESTBRIAR #1,299,656,140,15,25,1135,2026,191,2217
2025 November General,11/4/2025 0:00,FAIRFAX COUNTY,220 - DOGWOOD,783,1475,321,35,36,2650,4709,348,5057
2025 November General,11/4/2025 0:00,FAIRFAX COUNTY,221 - HUNTERS WOODS,754,958,307,17,34,2070,2793,109,2902
2025 November General,11/4/2025 0:00,FAIRFAX COUNTY,222 - RESTON #3,507,784,183,18,23,1515,2215,182,2397
2025 November General,11/4/2025 0:00,FAIRFAX COUNTY,223 - GLADE,811,1296,342,23,54,2526,3824,271,4095
2025 November General,11/4/2025 0:00,FAIRFAX COUNTY,224 - SOUTH LAKES,978,1492,456,50,53,3029,4768,404,5172
2025 November General,11/4/2025 0:00,FAIRFAX COUNTY,225 - HUGHES,756,1260,288,28,55,2387,4183,419,4602
2025 November General,11/4/2025 0:00,FAIRFAX COUNTY,226 - WOLFTRAP,631,1430,303,25,60,2449,3559,150,3709
2025 November General,11/4/2025 0:00,FAIRFAX COUNTY,227 - SUNRISE VALLEY #1,505,789,187,6,18,1505,2104,143,2247
2025 November General,11/4/2025 0:00,FAIRFAX COUNTY,229 - FOX MILL #1,916,1505,349,24,40,2834,4109,166,4275
2025 November General,11/4/2025 0:00,FAIRFAX COUNTY,233 - NORTH POINT,674,778,246,9,24,1731,2535,107,2642
2025 November General,11/4/2025 0:00,FAIRFAX COUNTY,234 - ALDRIN,766,958,247,23,36,2030,2911,241,3152
2025 November General,11/4/2025 0:00,FAIRFAX COUNTY,235 - FRYING PAN,555,1024,198,23,22,1822,3281,251,3532
2025 November General,11/4/2025 0:00,FAIRFAX COUNTY,236 - STUART,311,511,102,15,19,958,1436,62,1498
2025 November General,11/4/2025 0:00,FAIRFAX COUNTY,237 - MCNAIR,584,1338,271,50,42,2285,4460,568,5028
2025 November General,11/4/2025 0:00,FAIRFAX COUNTY,238 - CAMERON GLEN,1373,922,389,51,55,2790,4670,657,5327
2025 November General,11/4/2025 0:00,FAIRFAX COUNTY,240 - COLVIN,586,766,204,15,18,1589,2593,120,2713
2025 November General,11/4/2025 0:00,FAIRFAX COUNTY,241 - FLINT HILL #2,297,594,136,8,20,1055,1581,70,1651
2025 November General,11/4/2025 0:00,FAIRFAX COUNTY,242 - WESTBRIAR #2,330,644,178,13,28,1193,1775,68,1843
2025 November General,11/4/2025 0:00,FAIRFAX COUNTY,243 - SUNRISE VALLEY #2,213,369,97,5,13,697,1044,64,1108
2025 November General,11/4/2025 0:00,FAIRFAX COUNTY,244 - FOX MILL #2,153,150,61,2,6,372,562,28,590
2025 November General,11/4/2025 0:00,FAIRFAX COUNTY,245 - PINEY RUN,237,330,80,4,7,658,1089,47,1136
2025 November General,11/4/2025 0:00,FAIRFAX COUNTY,301 - CHAIN BRIDGE,860,989,360,38,48,2295,3713,314,4027
2025 November General,11/4/2025 0:00,FAIRFAX COUNTY,302 - CHESTERBROOK,670,835,324,31,33,1893,2752,108,2860
2025 November General,11/4/2025 0:00,FAIRFAX COUNTY,303 - CHURCHILL,325,582,154,7,17,1085,1729,80,1809
2025 November General,11/4/2025 0:00,FAIRFAX COUNTY,304 - COOPER,496,631,224,24,43,1418,2434,136,2570
2025 November General,11/4/2025 0:00,FAIRFAX COUNTY,305 - EL NIDO,545,822,236,10,35,1648,2531,130,2661
2025 November General,11/4/2025 0:00,FAIRFAX COUNTY,306 - GREAT FALLS,590,587,140,9,18,1344,2220,103,2323
2025 November General,11/4/2025 0:00,FAIRFAX COUNTY,307 - HAYCOCK,944,1374,442,30,47,2837,4139,173,4312
2025 November General,11/4/2025 0:00,FAIRFAX COUNTY,309 - KENMORE,843,1034,373,31,52,2333,4243,209,4452
