election,election_date,locality,precinct,Early Voting,Election Day,Mailed Absentee,Provisional,Post-Election,TotalVoteTurnout,ActiveRegisteredVoters,InactiveRegisteredVoters,TotalRegisteredVoters
2025 November General,11/4/2025 0:00,LOUDOUN COUNTY,504 - SMARTS MILL,842,945,219,20,30,2056,3275,253,3528
2025 November General,11/4/2025 0:00,LOUDOUN COUNTY,505 - COOL SPRING,836,1042,167,11,23,2079,3236,191,3427
2025 November General,11/4/2025 0:00,LOUDOUN COUNTY,506 - DOUGLASS,310,597,90,15,9,1021,2043,163,2206
2025 November General,11/4/2025 0:00,LOUDOUN COUNTY,507 - GREENWAY,457,407,122,7,14,1007,1608,136,1744
2025 November General,11/4/2025 0:00,LOUDOUN COUNTY,508 - BALLS BLUFF,522,1236,151,25,20,1954,3207,163,3370
2025 November General,11/4/2025 0:00,LOUDOUN COUNTY,509 - TOLBERT,647,1399,240,36,32,2354,4442,321,4763
2025 November General,11/4/2025 0:00,LOUDOUN COUNTY,510 - HERITAGE,552,579,131,8,11,1281,1840,82,1922
2025 November General,11/4/2025 0:00,LOUDOUN COUNTY,511 - EVERGREEN,863,1126,230,32,39,2290,3975,196,4171
2025 November General,11/4/2025 0:00,LOUDOUN COUNTY,512 - RIVER CREEK,742,629,185,25,13,1594,2556,127,2683
2025 November General,11/4/2025 0:00,LOUDOUN COUNTY,513 - RED ROCK,300,709,98,20,10,1137,1949,95,2044
2025 November General,11/4/2025 0:00,LOUDOUN COUNTY,615 - HILLSIDE,1001,1261,216,17,30,2525,4083,192,4275
2025 November General,11/4/2025 0:00,LOUDOUN COUNTY,616 - EAGLE RIDGE,698,1175,247,22,29,2171,4207,431,4638
2025 November General,11/4/2025 0:00,LOUDOUN COUNTY,620 - RUSSELL BRANCH,419,951,139,11,19,1539,2499,150,2649
2025 November General,11/4/2025 0:00,LOUDOUN COUNTY,621 - DOMINION TRAIL,610,1306,206,19,33,2174,3833,217,4050
2025 November General,11/4/2025 0:00,LOUDOUN COUNTY,622 - FARMWELL STATION,588,1167,291,19,28,2093,3470,229,3699
2025 November General,11/4/2025 0:00,LOUDOUN COUNTY,623 - WELLER,803,1233,428,28,37,2529,3893,198,4091
2025 November General,11/4/2025 0:00,LOUDOUN COUNTY,625 - MILL RUN,599,961,197,12,31,1800,2871,135,3006
2025 November General,11/4/2025 0:00,LOUDOUN COUNTY,626 - ASHBY PONDS,227,1151,323,18,31,1750,2137,35,2172
2025 November General,11/4/2025 0:00,LOUDOUN COUNTY,627 - ASHBROOK,353,575,144,15,12,1099,1911,152,2063
2025 November General,11/4/2025 0:00,LOUDOUN COUNTY,628 - MOOREFIELD STATION,417,720,153,25,30,1345,2579,167,2746
2025 November General,11/4/2025 0:00,LOUDOUN COUNTY,629 - DISCOVERY,243,421,67,11,9,751,1641,183,1824
2025 November General,11/4/2025 0:00,LOUDOUN COUNTY,630 - CROSON,539,946,218,27,40,1770,3284,227,3511
2025 November General,11/4/2025 0:00,LOUDOUN COUNTY,631 - MARBLEHEAD,308,587,172,19,17,1103,2504,265,2769
2025 November General,11/4/2025 0:00,LOUDOUN COUNTY,701 - SULLY,398,794,151,19,21,1383,2858,175,3033
2025 November General,11/4/2025 0:00,LOUDOUN COUNTY,702 - PARK VIEW,697,908,255,21,21,1902,3583,174,3757
2025 November General,11/4/2025 0:00,LOUDOUN COUNTY,703 - ROLLING RIDGE,288,970,155,19,26,1458,3000,200,3200
2025 November General,11/4/2025 0:00,LOUDOUN COUNTY,705 - FOREST GROVE,414,990,139,20,25,1588,3071,212,3283
2025 November General,11/4/2025 0:00,LOUDOUN COUNTY,707 - CLAUDE MOORE PARK,246,295,51,8,7,607,1206,54,1260
